visit_id,customer_id,customer_name,age,phone,date,arrival_time,food_ordered,taste_rating,price_rating,avg_rating,how_many_with_him
V00021,C0243,Priya Tyagi,33,9805648248,2025-12-25,2025-12-25 13:56:00,Paneer Roll,1,1,1.0,2
V00022,C0215,Neha Agarwal,28,9746572613,2025-12-25,2025-12-25 20:40:00,Spring Rolls,4,3,3.5,2
V00023,C0080,Raj Yadav,23,9443588056,2025-12-25,2025-12-25 18:54:00,Chicken Roll,1,1,1.0,4
V00024,C0043,Deepak Tyagi,47,9532236063,2025-12-25,2025-12-25 19:15:00,Soft Drinks,3,3,3.0,1
V00025,C0170,Rekha Yadav,63,9697062209,2025-12-25,2025-12-25 14:27:00,Margherita Pizza,3,5,4.0,1
V00026,C0242,Divya Agarwal,27,9433261216,2025-12-25,2025-12-25 17:22:00,Chicken Biryani,5,5,5.0,3
V00027,C0220,Simran Varshney,27,9686656143,2025-12-25,2025-12-25 18:10:00,Veg Kabab,1,2,1.5,2
V00028,C0043,Deepak Tyagi,47,9532236063,2025-12-25,2025-12-25 19:19:00,Soft Drinks,2,4,3.0,1
V00029,C0058,Kritika Khan,20,9860276843,2025-12-25,2025-12-25 18:38:00,Chicken Roll,2,3,2.5,1
V00030,C0184,Amit Yadav,31,9563236732,2025-12-25,2025-12-25 19:27:00,Pepperoni Pizza,2,4,3.0,2
V00031,C0222,Amit Singh,37,9883554031,2025-12-25,2025-12-25 11:58:00,Veg Burger,2,2,2.0,1
V00032,C0180,Ritika Mittal,46,9409972550,2025-12-25,2025-12-25 12:26:00,Veg Kabab,5,1,3.0,4
V00033,C0363,Vikram Varshney,53,9247543607,2025-12-25,2025-12-25 17:24:00,Soft Drinks,3,1,2.0,2
V00034,C0060,Amit Sharma,20,9950233229,2025-12-25,2025-12-25 20:33:00,Paneer Roll,2,3,2.5,3
V00035,C0130,Rohan Mehta,18,9861419315,2025-12-25,2025-12-25 21:08:00,Mocktails,4,4,4.0,3
V00036,C0141,Jatin Yadav,32,9331213670,2025-12-25,2025-12-25 21:00:00,Chocolate Shake,4,3,3.5,1
V00037,C0246,Hemant Varshney,37,9179076460,2025-12-25,2025-12-25 21:02:00,Pepperoni Pizza,5,3,4.0,1
V00038,C0113,Meera Saini,23,9845030820,2025-12-25,2025-12-25 11:42:00,Cold Coffee,2,2,2.0,2
V00039,C0111,Rekha Bansal,53,9022139920,2025-12-25,2025-12-25 19:25:00,Vegetable Chowmein,4,4,4.0,2
V00040,C0011,Priya Mittal,28,9052048424,2025-12-25,2025-12-25 17:09:00,Mixed Fruit Juice,1,5,3.0,3
V00041,C0109,Meera Bansal,45,9767996109,2025-12-25,2025-12-25 12:09:00,Chicken Roll,3,5,4.0,1
V00042,C0399,Divya Mittal,64,9809650553,2025-12-25,2025-12-25 18:46:00,Momos,4,3,3.5,2
V00043,C0405,Priya Patel,56,9200984295,2025-12-25,2025-12-25 12:24:00,Chicken Roll,2,1,1.5,3
V00044,C0039,Harsh Mehta,63,9586638892,2025-12-25,2025-12-25 17:16:00,Pepperoni Pizza,5,3,4.0,1
V00045,C0195,Harsh Mittal,17,9310508107,2025-12-25,2025-12-25 21:06:00,Momos,1,5,3.0,2
V00046,C0109,Meera Bansal,45,9767996109,2025-12-25,2025-12-25 11:56:00,Chicken Roll,3,3,3.0,2
V00047,C0074,Anjali Mehta,19,9034766775,2025-12-25,2025-12-25 19:45:00,Vegetable Chowmein,3,2,2.5,2
V00048,C0142,Shruti Tyagi,33,9849870384,2025-12-25,2025-12-25 12:36:00,Vegetable Chowmein,3,1,2.0,1
V00049,C0056,Alisha Sharma,24,9752941528,2025-12-25,2025-12-25 19:33:00,Spring Rolls,2,4,3.0,2
V00050,C0115,Sakshi Verma,49,9522143704,2025-12-25,2025-12-25 18:34:00,Pepperoni Pizza,4,3,3.5,2
V00051,C0246,Hemant Varshney,37,9179076460,2025-12-25,2025-12-25 18:01:00,Pepperoni Pizza,1,2,1.5,1
V00052,C0057,Rekha Patel,52,9514574710,2025-12-25,2025-12-25 19:31:00,Cold Coffee,4,1,2.5,1
V00053,C0108,Rekha Yadav,49,9968728781,2025-12-25,2025-12-25 18:00:00,Paneer Roll,3,1,2.0,5
V00054,C0150,Yogesh Varshney,56,9671942309,2025-12-25,2025-12-25 11:13:00,Pasta Alfredo,5,2,3.5,2
V00055,C0089,Tanya Verma,29,9025254433,2025-12-25,2025-12-25 18:00:00,Paneer Roll,4,4,4.0,2
V00056,C0305,Amit Bansal,46,9243760088,2025-12-25,2025-12-25 12:17:00,Caesar Salad,3,2,2.5,1
V00057,C0189,Komal Mehta,47,9026750311,2025-12-25,2025-12-25 21:18:00,French Fries,2,3,2.5,1
V00058,C0079,Manish Mehta,41,9653856786,2025-12-25,2025-12-25 18:35:00,Cold Coffee,2,4,3.0,1
V00059,C0330,Vikram Agarwal,63,9257309939,2025-12-25,2025-12-25 20:41:00,Veg Burger,1,3,2.0,2
V00060,C0057,Rekha Patel,52,9514574710,2025-12-25,2025-12-25 13:05:00,Cold Coffee,3,5,4.0,2
V00061,C0213,Rohan Singh,64,9400849038,2025-12-25,2025-12-25 19:05:00,Caesar Salad,2,5,3.5,4
V00062,C0028,Hemant Mittal,39,9605626441,2025-12-25,2025-12-25 12:39:00,Margherita Pizza,2,2,2.0,2
V00063,C0055,Nitin Mehta,57,9859753836,2025-12-25,2025-12-25 18:51:00,Pepperoni Pizza,2,4,3.0,1
V00064,C0366,Divya Sharma,48,9890662313,2025-12-25,2025-12-25 18:47:00,French Fries,4,3,3.5,5
V00065,C0146,Arjun Sharma,53,9292162454,2025-12-25,2025-12-25 19:20:00,Veg Biryani,2,3,2.5,1
V00066,C0079,Manish Mehta,41,9653856786,2025-12-25,2025-12-25 14:19:00,Cold Coffee,2,5,3.5,2
V00067,C0131,Nitin Yadav,17,9569595771,2025-12-25,2025-12-25 21:46:00,Momos,1,2,1.5,2
V00068,C0057,Rekha Patel,52,9514574710,2025-12-25,2025-12-25 13:23:00,Cold Coffee,5,4,4.5,1
V00069,C0178,Anjali Saini,48,9651941229,2025-12-25,2025-12-25 12:31:00,Momos,2,2,2.0,3
V00070,C0236,Aisha Verma,44,9193758990,2025-12-25,2025-12-25 21:11:00,Paneer Roll,2,1,1.5,2
V00071,C0135,Mohit Agarwal,48,9270141535,2025-12-25,2025-12-25 14:59:00,Chocolate Shake,4,1,2.5,2
V00072,C0011,Priya Mittal,28,9052048424,2025-12-25,2025-12-25 20:27:00,Veg Kabab,3,5,4.0,1
V00073,C0018,Amit Yadav,63,9962457073,2025-12-25,2025-12-25 18:40:00,Momos,2,2,2.0,2
V00074,C0079,Manish Mehta,41,9653856786,2025-12-25,2025-12-25 17:03:00,Cold Coffee,5,5,5.0,2
V00075,C0136,Amit Chauhan,35,9406724749,2025-12-25,2025-12-25 21:32:00,Soft Drinks,4,5,4.5,3
V00076,C0195,Harsh Mittal,17,9310508107,2025-12-25,2025-12-25 21:51:00,Momos,2,1,1.5,5
V00077,C0116,Vikram Verma,29,9660356823,2025-12-25,2025-12-25 20:42:00,French Fries,3,3,3.0,4
V00078,C0068,Raj Saini,61,9400361015,2025-12-25,2025-12-25 11:58:00,Soft Drinks,2,4,3.0,2
V00079,C0196,Rajat Mehta,48,9629458162,2025-12-25,2025-12-25 21:59:00,Caesar Salad,3,3,3.0,1
V00080,C0241,Karan Mehta,60,9526280670,2025-12-25,2025-12-25 13:10:00,Mocktails,2,2,2.0,3
V00081,C0241,Karan Mehta,60,9526280670,2025-12-25,2025-12-25 11:01:00,Mocktails,3,5,4.0,2
V00082,C0034,Komal Saini,63,9260800342,2025-12-25,2025-12-25 17:31:00,Chocolate Shake,1,4,2.5,1
V00083,C0003,Vikram Sharma,58,9065380511,2025-12-25,2025-12-25 21:09:00,Mocktails,1,5,3.0,5
V00084,C0095,Yogesh Sharma,65,9901997308,2025-12-25,2025-12-25 13:50:00,Chicken Burger,1,5,3.0,2
V00085,C0206,Mohit Gupta,43,9140490111,2025-12-25,2025-12-25 21:19:00,Chocolate Shake,5,5,5.0,3
V00086,C0193,Nikhil Agarwal,45,9340762986,2025-12-25,2025-12-25 19:07:00,Margherita Pizza,5,1,3.0,2
V00087,C0321,Divya Saini,27,9377807329,2025-12-25,2025-12-25 17:03:00,Momos,4,2,3.0,1
V00088,C0014,Pallavi Tyagi,46,9424653348,2025-12-25,2025-12-25 18:26:00,Soft Drinks,2,2,2.0,3
V00089,C0055,Nitin Mehta,57,9859753836,2025-12-25,2025-12-25 21:30:00,Pepperoni Pizza,3,2,2.5,1
V00090,C0069,Sonam Bansal,53,9185209208,2025-12-25,2025-12-25 13:07:00,Cold Coffee,2,2,2.0,1
V00091,C0434,Karan Yadav,39,9873641293,2025-12-25,2025-12-25 20:17:00,Chicken Burger,1,4,2.5,1
V00092,C0194,Karan Yadav,65,9759550609,2025-12-25,2025-12-25 20:03:00,Momos,3,2,2.5,1
V00093,C0093,Sunny Mehta,19,9389260599,2025-12-25,2025-12-25 18:46:00,Veg Biryani,5,2,3.5,2
V00094,C0229,Aisha Khan,28,9513240484,2025-12-25,2025-12-25 11:54:00,Momos,3,2,2.5,3
V00095,C0434,Karan Yadav,39,9873641293,2025-12-25,2025-12-25 11:27:00,Chicken Burger,3,1,2.0,2
V00096,C0353,Divya Sharma,22,9715509652,2025-12-25,2025-12-25 11:36:00,Chicken Burger,5,3,4.0,2
V00097,C0002,Anu Saini,21,9034345546,2025-12-25,2025-12-25 19:16:00,Chicken Burger,3,2,2.5,2
V00098,C0070,Jatin Mittal,23,9337874174,2025-12-25,2025-12-25 17:29:00,Margherita Pizza,1,5,3.0,1
V00099,C0076,Kritika Tyagi,50,9870360470,2025-12-25,2025-12-25 12:39:00,Momos,1,5,3.0,2
V00100,C0420,Komal Bansal,53,9068657592,2025-12-25,2025-12-25 11:39:00,Chicken Roll,2,4,3.0,2
V00101,C0214,Rajat Varshney,55,9903365624,2025-12-25,2025-12-25 11:36:00,Veg Burger,5,5,5.0,3
V00102,C0160,Tarun Khan,17,9626281035,2025-12-25,2025-12-25 13:06:00,Mocktails,1,3,2.0,1
V00103,C0459,Kavita Chauhan,38,9958605862,2025-12-25,2025-12-25 14:16:00,French Fries,3,3,3.0,2
V00104,C0086,Divya Tyagi,38,9537163196,2025-12-25,2025-12-25 11:44:00,Spring Rolls,3,2,2.5,2
V00105,C0102,Tanya Patel,59,9851433854,2025-12-25,2025-12-25 11:52:00,Soft Drinks,5,2,3.5,2
V00106,C0163,Kritika Yadav,65,9819463082,2025-12-25,2025-12-25 17:27:00,Pasta Alfredo,3,3,3.0,3
V00107,C0113,Meera Saini,23,9845030820,2025-12-25,2025-12-25 11:25:00,Cold Coffee,5,4,4.5,1
V00108,C0280,Shruti Singh,51,9185496966,2025-12-25,2025-12-25 20:48:00,Margherita Pizza,3,5,4.0,1
V00109,C0171,Tanya Mittal,54,9186656354,2025-12-25,2025-12-25 20:33:00,Veg Biryani,4,5,4.5,3
V00110,C0414,Amit Sharma,17,9573319331,2025-12-25,2025-12-25 20:49:00,Pasta Alfredo,1,1,1.0,1
V00111,C0003,Vikram Sharma,58,9065380511,2025-12-25,2025-12-25 14:11:00,Mocktails,1,3,2.0,2
V00112,C0197,Shruti Varshney,17,9264450829,2025-12-25,2025-12-25 17:08:00,French Fries,3,3,3.0,3
V00113,C0235,Kavita Agarwal,55,9630658910,2025-12-25,2025-12-25 12:42:00,Mixed Fruit Juice,4,4,4.0,3
V00114,C0112,Mohit Gupta,44,9178170786,2025-12-25,2025-12-25 14:17:00,Spring Rolls,4,2,3.0,1
V00115,C0130,Rohan Mehta,18,9861419315,2025-12-25,2025-12-25 17:19:00,Mocktails,2,5,3.5,2
V00116,C0494,Suresh Tyagi,30,9794335171,2025-12-25,2025-12-25 12:15:00,Soft Drinks,1,2,1.5,1
V00117,C0186,Ritika Chauhan,63,9252364297,2025-12-25,2025-12-25 18:07:00,Chicken Biryani,2,4,3.0,5
V00118,C0213,Rohan Singh,64,9400849038,2025-12-25,2025-12-25 14:46:00,Pepperoni Pizza,1,2,1.5,2
V00119,C0029,Vikram Yadav,47,9787886364,2025-12-25,2025-12-25 18:45:00,Caesar Salad,2,1,1.5,4
V00120,C0164,Vikram Yadav,17,9491124036,2025-12-25,2025-12-25 13:04:00,Spring Rolls,3,2,2.5,2
V00121,C0395,Nikhil Sharma,33,9879173581,2025-12-25,2025-12-25 13:45:00,Chicken Burger,3,3,3.0,1
V00122,C0072,Alisha Sharma,33,9774895369,2025-12-25,2025-12-25 14:18:00,Vegetable Chowmein,1,2,1.5,2
V00123,C0179,Ritika Yadav,55,9195647824,2025-12-25,2025-12-25 18:51:00,Mixed Fruit Juice,1,4,2.5,1
V00124,C0121,Nitin Tyagi,21,9263173399,2025-12-25,2025-12-25 20:39:00,Margherita Pizza,2,2,2.0,3
V00125,C0090,Aisha Verma,51,9667488651,2025-12-25,2025-12-25 19:58:00,Spring Rolls,5,4,4.5,2
V00126,C0154,Pallavi Mittal,45,9193168656,2025-12-25,2025-12-25 21:41:00,Momos,4,4,4.0,1
V00127,C0290,Pallavi Tyagi,63,9463378626,2025-12-25,2025-12-25 14:56:00,Chicken Burger,1,1,1.0,1
V00128,C0352,Yogesh Verma,49,9781305039,2025-12-25,2025-12-25 13:04:00,Momos,4,2,3.0,2
V00129,C0231,Hemant Verma,19,9377800442,2025-12-25,2025-12-25 17:31:00,Paneer Roll,2,3,2.5,2
V00130,C0221,Anil Mehta,62,9852695215,2025-12-25,2025-12-25 18:26:00,Paneer Roll,1,4,2.5,2
V00131,C0276,Pooja Agarwal,29,9100778720,2025-12-25,2025-12-25 13:24:00,Veg Biryani,1,4,2.5,1
V00132,C0021,Mohit Sharma,18,9892372448,2025-12-25,2025-12-25 12:15:00,Soft Drinks,3,3,3.0,1
V00133,C0155,Yogesh Mittal,61,9967239668,2025-12-25,2025-12-25 17:56:00,Margherita Pizza,1,4,2.5,2
V00134,C0090,Aisha Verma,51,9667488651,2025-12-25,2025-12-25 11:11:00,Spring Rolls,2,4,3.0,3
V00135,C0374,Raj Yadav,31,9395065498,2025-12-25,2025-12-25 18:08:00,Margherita Pizza,4,5,4.5,1
V00136,C0096,Divya Yadav,32,9575069437,2025-12-25,2025-12-25 17:36:00,Mocktails,5,1,3.0,2
V00137,C0175,Sakshi Sharma,35,9544200071,2025-12-25,2025-12-25 20:14:00,Vegetable Chowmein,2,4,3.0,2
V00138,C0200,Anjali Mittal,21,9902790709,2025-12-25,2025-12-25 21:01:00,Pasta Alfredo,4,5,4.5,1
V00139,C0440,Hemant Saini,51,9318370900,2025-12-25,2025-12-25 13:24:00,Veg Kabab,4,1,2.5,1
V00140,C0162,Sunny Mehta,18,9474818843,2025-12-25,2025-12-25 14:11:00,Veg Biryani,5,3,4.0,1
V00141,C0121,Nitin Tyagi,21,9263173399,2025-12-25,2025-12-25 21:38:00,Margherita Pizza,5,2,3.5,3
V00142,C0096,Divya Yadav,32,9575069437,2025-12-25,2025-12-25 11:03:00,Mocktails,1,1,1.0,1
V00143,C0162,Sunny Mehta,18,9474818843,2025-12-25,2025-12-25 13:41:00,Veg Biryani,4,3,3.5,2
V00144,C0156,Sonam Bansal,59,9321559545,2025-12-25,2025-12-25 12:54:00,Chicken Burger,1,4,2.5,2
V00145,C0249,Vikram Sharma,58,9722233980,2025-12-25,2025-12-25 12:30:00,Momos,2,4,3.0,2
V00146,C0180,Ritika Mittal,46,9409972550,2025-12-25,2025-12-25 11:51:00,Veg Kabab,3,5,4.0,1
V00147,C0231,Hemant Verma,19,9377800442,2025-12-25,2025-12-25 11:18:00,Chicken Burger,4,4,4.0,2
V00148,C0061,Rohan Varshney,60,9830803108,2025-12-25,2025-12-25 14:21:00,Spring Rolls,5,4,4.5,3
V00149,C0093,Sunny Mehta,19,9389260599,2025-12-25,2025-12-25 18:53:00,Veg Biryani,2,3,2.5,2
V00150,C0118,Sakshi Singh,56,9401720240,2025-12-25,2025-12-25 11:00:00,French Fries,4,1,2.5,3
V00151,C0176,Vikram Patel,63,9731078366,2025-12-25,2025-12-25 20:06:00,Mixed Fruit Juice,3,2,2.5,1
V00152,C0307,Suresh Gupta,32,9457813777,2025-12-25,2025-12-25 21:41:00,Paneer Roll,4,5,4.5,2
V00153,C0158,Pallavi Agarwal,59,9749963956,2025-12-25,2025-12-25 17:48:00,Veg Biryani,1,4,2.5,3
V00154,C0221,Anil Mehta,62,9852695215,2025-12-25,2025-12-25 17:31:00,Paneer Roll,4,5,4.5,3
V00155,C0292,Simran Bansal,39,9671660279,2025-12-25,2025-12-25 12:33:00,Mocktails,5,2,3.5,2
V00156,C0038,Suresh Gupta,22,9912333101,2025-12-25,2025-12-25 13:08:00,Mixed Fruit Juice,3,4,3.5,1
V00157,C0099,Pallavi Saini,30,9864598697,2025-12-25,2025-12-25 18:36:00,Soft Drinks,2,1,1.5,1
V00158,C0179,Ritika Yadav,55,9195647824,2025-12-25,2025-12-25 14:06:00,Mixed Fruit Juice,1,4,2.5,1
V00159,C0003,Vikram Sharma,58,9065380511,2025-12-25,2025-12-25 12:11:00,Mocktails,1,4,2.5,2
V00160,C0009,Rajat Gupta,24,9986503959,2025-12-25,2025-12-25 14:58:00,Chocolate Shake,3,4,3.5,3
V00161,C0352,Yogesh Verma,49,9781305039,2025-12-25,2025-12-25 19:50:00,Momos,3,3,3.0,1
V00162,C0183,Manish Mehta,16,9452509294,2025-12-25,2025-12-25 20:46:00,Chicken Roll,5,1,3.0,1
V00163,C0013,Anil Mittal,36,9205174370,2025-12-25,2025-12-25 12:35:00,Pepperoni Pizza,1,4,2.5,4
V00164,C0110,Manish Agarwal,37,9471122973,2025-12-25,2025-12-25 20:51:00,Mocktails,5,2,3.5,1
V00165,C0029,Vikram Yadav,47,9787886364,2025-12-25,2025-12-25 21:02:00,Caesar Salad,3,4,3.5,1
V00166,C0010,Shruti Mittal,56,9646112504,2025-12-25,2025-12-25 14:21:00,Spring Rolls,5,4,4.5,4
V00167,C0144,Anu Singh,51,9547088629,2025-12-25,2025-12-25 18:14:00,French Fries,5,5,5.0,2
V00168,C0040,Sunny Mehta,18,9205608592,2025-12-25,2025-12-25 19:59:00,Mixed Fruit Juice,4,4,4.0,4
V00169,C0121,Nitin Tyagi,21,9263173399,2025-12-25,2025-12-25 21:33:00,Margherita Pizza,3,2,2.5,3
V00170,C0322,Alisha Bansal,41,9583796000,2025-12-25,2025-12-25 18:12:00,Chicken Burger,3,5,4.0,1
V00171,C0229,Aisha Khan,28,9513240484,2025-12-25,2025-12-25 21:35:00,Momos,3,4,3.5,4
V00172,C0011,Priya Mittal,28,9052048424,2025-12-25,2025-12-25 18:11:00,Veg Kabab,4,2,3.0,1
V00173,C0123,Nitin Agarwal,43,9654597351,2025-12-25,2025-12-25 17:03:00,Veg Biryani,3,2,2.5,4
V00174,C0437,Anu Patel,57,9887977229,2025-12-25,2025-12-25 21:04:00,Chicken Roll,1,1,1.0,3
V00175,C0111,Rekha Bansal,53,9022139920,2025-12-25,2025-12-25 11:08:00,Vegetable Chowmein,3,4,3.5,4
V00176,C0087,Karan Agarwal,52,9432300818,2025-12-25,2025-12-25 14:53:00,Cold Coffee,4,2,3.0,1
V00177,C0122,Deepak Saini,50,9130617650,2025-12-25,2025-12-25 19:05:00,Veg Burger,1,4,2.5,2
V00178,C0029,Vikram Yadav,47,9787886364,2025-12-25,2025-12-25 14:52:00,Caesar Salad,5,5,5.0,1
V00179,C0050,Hemant Chauhan,17,9459766221,2025-12-25,2025-12-25 20:08:00,Soft Drinks,1,5,3.0,2
V00180,C0229,Aisha Khan,28,9513240484,2025-12-25,2025-12-25 12:23:00,Momos,4,2,3.0,4
V00181,C0197,Shruti Varshney,17,9264450829,2025-12-25,2025-12-25 18:18:00,French Fries,3,5,4.0,2
V00182,C0335,Harsh Yadav,55,9874267269,2025-12-25,2025-12-25 17:30:00,Mixed Fruit Juice,4,4,4.0,3
V00183,C0186,Ritika Chauhan,63,9252364297,2025-12-25,2025-12-25 21:44:00,Chicken Biryani,3,4,3.5,5
V00184,C0081,Shruti Varshney,52,9455127665,2025-12-25,2025-12-25 11:45:00,Pepperoni Pizza,5,2,3.5,3
V00185,C0044,Pooja Chauhan,37,9005557503,2025-12-25,2025-12-25 14:22:00,Veg Kabab,2,1,1.5,2
V00186,C0246,Hemant Varshney,37,9179076460,2025-12-25,2025-12-25 17:39:00,Pepperoni Pizza,2,3,2.5,2
V00187,C0117,Simran Chauhan,30,9731257293,2025-12-25,2025-12-25 17:31:00,Chicken Burger,1,2,1.5,5
V00188,C0054,Aisha Agarwal,37,9701680781,2025-12-25,2025-12-25 13:28:00,Chicken Burger,4,3,3.5,4
V00189,C0039,Harsh Mehta,63,9586638892,2025-12-25,2025-12-25 13:01:00,Pepperoni Pizza,5,3,4.0,1
V00190,C0079,Manish Mehta,41,9653856786,2025-12-25,2025-12-25 11:05:00,Cold Coffee,4,5,4.5,1
V00191,C0129,Suresh Singh,17,9609532442,2025-12-25,2025-12-25 17:35:00,Chicken Biryani,4,5,4.5,2
V00192,C0345,Amit Chauhan,50,9346242701,2025-12-25,2025-12-25 17:40:00,Paneer Roll,3,4,3.5,1
V00193,C0038,Suresh Gupta,22,9912333101,2025-12-25,2025-12-25 20:10:00,Mixed Fruit Juice,3,4,3.5,2
V00194,C0204,Nikhil Agarwal,60,9825189205,2025-12-25,2025-12-25 19:59:00,Caesar Salad,4,1,2.5,1
V00195,C0200,Anjali Mittal,21,9902790709,2025-12-25,2025-12-25 13:17:00,Pasta Alfredo,4,5,4.5,1
V00196,C0019,Anil Varshney,58,9607861361,2025-12-25,2025-12-25 18:22:00,Veg Kabab,4,1,2.5,1
V00197,C0156,Sonam Bansal,59,9321559545,2025-12-25,2025-12-25 20:40:00,Spring Rolls,5,1,3.0,2
V00198,C0161,Neha Singh,64,9141535623,2025-12-25,2025-12-25 17:29:00,Chicken Biryani,2,1,1.5,2
V00199,C0068,Raj Saini,61,9400361015,2025-12-25,2025-12-25 18:31:00,Soft Drinks,1,3,2.0,1
V00200,C0048,Ritika Gupta,41,9222192496,2025-12-25,2025-12-25 11:39:00,French Fries,4,2,3.0,2
V00201,C0384,Tanya Mittal,45,9162708865,2025-12-25,2025-12-25 19:15:00,Vegetable Chowmein,1,3,2.0,3
V00202,C0030,Raj Patel,58,9749554485,2025-12-25,2025-12-25 21:41:00,Vegetable Chowmein,5,4,4.5,1
V00203,C0017,Neha Patel,53,9463994718,2025-12-25,2025-12-25 11:08:00,Margherita Pizza,5,4,4.5,2
V00204,C0056,Alisha Sharma,24,9752941528,2025-12-25,2025-12-25 20:13:00,Spring Rolls,1,3,2.0,2
V00205,C0383,Pooja Sharma,17,9493827228,2025-12-25,2025-12-25 19:18:00,Cold Coffee,4,3,3.5,2
V00206,C0362,Neha Patel,26,9442059174,2025-12-25,2025-12-25 19:40:00,Vegetable Chowmein,2,4,3.0,1
V00207,C0207,Harsh Agarwal,60,9657181259,2025-12-25,2025-12-25 19:17:00,Mocktails,1,1,1.0,4
V00208,C0222,Amit Singh,37,9883554031,2025-12-25,2025-12-25 19:27:00,Veg Burger,4,1,2.5,2
V00209,C0236,Aisha Verma,44,9193758990,2025-12-25,2025-12-25 12:17:00,Paneer Roll,2,1,1.5,1
V00210,C0246,Hemant Varshney,37,9179076460,2025-12-25,2025-12-25 20:01:00,Pepperoni Pizza,4,2,3.0,3
V00211,C0216,Hemant Bansal,41,9133551948,2025-12-25,2025-12-25 17:52:00,Cold Coffee,1,2,1.5,3
V00212,C0159,Anil Singh,32,9500425065,2025-12-25,2025-12-25 12:21:00,Caesar Salad,1,3,2.0,2
V00213,C0168,Mohit Singh,51,9961951768,2025-12-25,2025-12-25 20:31:00,Spring Rolls,3,5,4.0,2
V00214,C0141,Jatin Yadav,32,9331213670,2025-12-25,2025-12-25 18:24:00,Chocolate Shake,3,1,2.0,2
V00215,C0106,Karan Mittal,52,9332783665,2025-12-25,2025-12-25 21:44:00,Spring Rolls,2,1,1.5,3
V00216,C0196,Rajat Mehta,48,9629458162,2025-12-25,2025-12-25 21:19:00,Caesar Salad,4,3,3.5,2
V00217,C0127,Raj Verma,22,9188528888,2025-12-25,2025-12-25 12:33:00,Caesar Salad,2,1,1.5,4
V00218,C0076,Kritika Tyagi,50,9870360470,2025-12-25,2025-12-25 19:06:00,Momos,4,1,2.5,2
V00219,C0003,Vikram Sharma,58,9065380511,2025-12-25,2025-12-25 11:38:00,Mocktails,3,2,2.5,1
V00220,C0088,Simran Chauhan,33,9846067697,2025-12-25,2025-12-25 11:00:00,Pasta Alfredo,3,2,2.5,1
V00221,C0129,Suresh Singh,17,9609532442,2025-12-25,2025-12-25 11:24:00,Chicken Biryani,4,2,3.0,3
V00222,C0243,Priya Tyagi,33,9805648248,2025-12-25,2025-12-25 18:39:00,Paneer Roll,4,4,4.0,2
V00223,C0030,Raj Patel,58,9749554485,2025-12-25,2025-12-25 11:47:00,Vegetable Chowmein,5,2,3.5,1
V00224,C0011,Priya Mittal,28,9052048424,2025-12-25,2025-12-25 17:36:00,Veg Kabab,3,5,4.0,2
